1_x_1,1_x_0,1_x_3,1_x_2,1_x_5,1_x_4
17.68557739,176.9067942,177.143234,179.9181926,345.5383606,206.8559303
16.73051453,178.1304862,176.5889485,178.5143452,344.3814087,206.6708908
16.16995239,178.5407735,176.4412123,178.0358168,342.86763,206.8078041
16.41082764,177.7871156,175.026015,176.2842319,339.4280396,207.9492588
16.4500885,177.6324461,174.9151721,176.0658946,339.8225708,208.2449608
16.89677429,177.5654035,173.9016275,175.9805772,341.615097,209.381752
18.37783813,177.985183,165.6337023,176.5821598,343.5135193,210.0687046
18.65864563,177.7672312,160.2372341,176.3269584,344.2559357,210.7020378
19.24176025,177.6735404,164.380209,176.8188001,342.653595,209.8302078
20.73114014,177.0189162,168.0420761,178.5633474,345.1768341,209.6365757
22.01783752,179.232765,176.9826554,180.7704718,346.9747467,207.4048653
22.06561279,179.0421721,178.1428887,180.899766,346.8151245,207.301651
21.79045105,179.0581391,179.3446966,180.5847573,346.611084,206.91856
21.68031311,179.1222426,179.9156972,180.4804254,346.3304749,209.7941246
21.38504028,179.1904258,181.5311694,179.6116496,348.4337006,209.8739643
21.31150818,179.5593518,182.5333705,178.9893968,350.8313293,210.2046223
20.99992371,180.5259492,183.4932575,178.1656146,353.1243896,211.4522667
20.76361084,181.4860334,185.3040681,178.3527253,350.337616,212.165596
20.59927368,181.5407362,184.8988953,178.5449425,348.6241608,212.2440567
20.69102478,181.0343645,184.595706,178.2757163,347.5547333,212.668766
19.07955933,182.483078,177.9757644,178.6490121,339.7847595,218.6581116
20.40893555,183.9260836,168.7920723,178.6787864,328.973999,218.9449158
20.81478882,185.1684046,166.6761093,178.8431868,325.4286804,219.2761116
19.54397583,184.7693911,171.071743,178.6396738,325.6893616,218.907589
19.30944824,184.3792739,172.1089444,178.7275806,325.5556488,218.0584183
19.26434326,183.3989801,175.8397377,178.7004355,324.4637909,215.9244576
19.84127808,182.2575653,178.9734001,179.2590054,321.3117981,212.9761162
20.45350647,181.3024032,184.9462094,181.1915522,322.1868591,215.4658775
20.42849731,180.8666341,191.099514,181.6048098,323.6382294,220.7359886
20.06253052,181.3337164,197.0016003,179.8252362,319.5854645,227.7553253
19.6700592,181.6473639,197.2602081,179.5032543,317.9021912,225.4996147
19.53744507,181.7713814,197.1547222,179.3389854,317.126709,225.775032
19.04127502,182.6846004,196.0233593,178.9119346,313.2782288,225.257946
18.6783905,182.9406195,195.6669159,178.8419757,313.5075989,222.9898033
18.61665344,183.0063419,195.4723892,178.8477603,313.8985443,222.4088364
17.25346375,183.0246406,190.5568132,179.6586835,315.0793304,220.2847481
17.03038025,182.9224386,187.926053,179.4125905,313.4627075,220.1173286
17.18734741,182.7063208,185.3992147,179.505589,311.7157135,220.6201668
18.81643677,182.8341427,167.7836103,181.18314,319.8790588,232.5233688
18.73974609,182.7330446,164.7278214,181.5715508,319.5556335,233.1767998
18.94967651,182.6091137,161.6634712,181.9574718,319.4882813,232.5986137
19.31678772,182.4087901,157.4503021,182.2826316,318.2931213,230.6362152
19.88296509,181.0031247,157.0276127,183.1631713,321.7864685,223.702713
20.8666687,181.2382534,158.6714478,183.4851117,323.7744293,222.2599106
29.05291748,180.97645,166.5269852,182.7650671,322.5531464,225.6237831
41.29734802,180.8391273,171.5312462,182.6521654,322.9713593,227.4977951
41.50393677,181.1035464,172.0090613,182.6003947,323.3553314,227.6717949
16.70681763,184.4216084,177.9037464,180.5234044,323.2097473,229.3089142
4.820404053,184.8192306,180.0541919,179.5451617,323.6980133,232.7936821
5.144012451,184.93924,181.6527772,179.4931918,320.6858368,232.3264389
3.809112549,185.0050979,182.7202678,179.9902431,322.5361328,232.1551933
2.509552002,185.060504,183.3528576,180.3788528,322.8289185,231.6037636
-0.202133179,185.2794046,185.6694889,181.6615736,322.7311096,229.3328056
-0.234771729,185.3267665,186.4168587,181.8138938,322.7575989,228.8885384
0.981536865,185.378221,191.7326584,180.9115486,323.5904236,223.8749123
2.721878052,185.3790021,196.6385365,179.905881,324.4183044,220.531765
18.3651886,184.5338635,198.2365494,179.8855993,314.0736694,221.9514465
7.831359863,183.6854491,196.4168358,180.7886059,327.7911072,220.6808434
6.367462158,183.5768204,195.2739944,180.9278555,330.0956268,220.6533089
348.7549896,182.6839409,187.673131,180.2480611,344.84758,224.9814987
350.3235321,183.7997108,185.4617429,180.0115179,345.6564636,224.1198463
350.2285309,184.3393469,183.9268141,180.1644783,346.9107819,223.5153465
349.9865723,184.4880018,183.2308393,180.2744117,347.1937714,223.6082039
350.1253357,184.5991364,182.4520154,180.390034,347.4899597,222.8376999
357.4541168,185.0399365,176.4250453,180.8198934,349.1635437,217.9916801
355.9681396,185.1123786,174.8254349,180.7578511,350.1083832,216.7716484
9.830688477,185.9249697,163.027914,179.7078096,351.3301392,214.5786514
13.44902039,186.3464999,164.115427,179.6324915,350.4688721,214.2056084
10.81129456,187.588726,167.3252087,179.831012,345.8386078,214.864727
344.2206573,188.1326008,179.177546,180.0323673,339.2776947,218.5319672
345.2530365,185.126935,187.211215,179.9140328,329.2059479,231.3634949
347.4037781,184.8482046,187.5907269,180.1023602,329.6317444,232.1064873
10.57759094,181.6620474,194.1429825,182.0773656,327.4667969,226.3415451
3.939071655,179.9724739,197.8921928,182.6650786,316.9797211,223.8256569
357.2232666,179.1933419,198.9586563,182.5257306,313.7849579,222.5585136
341.8373108,180.441628,195.6674652,183.0092359,315.9736176,222.8233948
338.3521423,181.4465015,193.9807072,183.0762444,316.0592346,224.4142838
335.5383911,182.0423288,192.0161514,183.0782685,315.8465729,225.9935379
334.999176,182.8424649,191.7150412,182.7060208,317.3130951,224.6646461
330.9504852,183.528913,186.8199749,182.0498652,317.3292236,223.0592651
330.8543091,183.602273,186.4537344,181.936666,317.6468353,222.048172
342.7441101,184.702208,170.7219162,180.4541299,316.1212006,215.6151123
340.5990753,185.4971156,155.6107922,179.5133569,309.09758,216.4193764
336.1624146,185.3702807,155.7800236,179.4931216,305.9994125,217.3787842
333.9806671,185.3010621,155.9515266,179.5502181,305.218544,217.9858437
323.5207672,183.7467213,159.9994526,180.5712955,316.5841064,225.5207062
321.0315552,183.4275408,161.0470867,180.5637972,317.4265747,226.8691101
320.3287048,183.2863083,161.8131409,180.565001,317.9806976,227.5567474
316.4551239,182.8120284,164.6526947,180.6739421,322.9018707,231.4467964
316.756012,182.4114451,167.2800493,180.4959083,322.9762573,233.6702919
326.8683167,179.1173626,181.0887287,179.8996462,313.9634094,237.5993729
328.8760223,178.709516,181.7090094,179.9080285,313.825592,238.2945633
342.6091156,177.6804835,184.1972551,180.6137471,311.3907623,220.9767342
343.1259308,177.8337512,185.7934551,181.0147135,313.243866,220.0399742
343.0016785,178.1257197,188.3907976,181.6926241,313.6290588,218.950985
343.6772614,178.8901794,191.4235754,182.3091514,315.0227203,218.9201775
343.5666809,179.0591828,191.2042427,182.3902531,314.4145813,218.9378319
342.9745483,179.3966043,190.2900944,182.5993834,314.5485229,218.8087463
324.8290558,180.082872,182.0567534,182.2322614,318.1462708,219.8812141
324.421814,180.0877032,181.4625556,182.1087494,316.4038086,220.4470749
323.8071289,180.1272399,180.7965012,181.7088103,308.0662079,220.5244331
328.6087952,180.4499578,174.6366777,180.0592345,313.8856659,222.7813911
336.9763794,180.0515103,165.5424585,179.4194635,314.8956146,216.0436783
345.1442413,179.8962537,160.4295597,177.8090561,310.5908203,216.2940674
327.1015015,180.9179554,173.1171899,179.4088616,305.1691437,236.7663307
325.6899261,180.6742997,174.8904734,179.6082207,306.2733917,238.9846649
325.2866211,180.7420738,177.1093779,179.8780094,310.5606689,242.5823212
325.1800079,180.8929002,178.2944007,180.0445069,311.5516052,244.3762589
327.2248077,181.1462336,180.229376,180.7754362,315.1383362,243.7793045
327.724472,181.1674299,182.572546,181.2651725,315.9877167,241.6297874
333.3416748,181.4785638,187.0315552,181.2756608,318.3110504,232.5327034
336.9396515,181.4385624,190.4143572,181.4247279,317.2957306,232.6605339
338.6549835,181.2493186,192.7717619,181.6190176,318.2924652,233.2952881
340.6010895,180.6465786,196.4400864,182.2285528,321.7336121,234.454464
341.1691589,180.5416317,197.1193485,182.3233793,322.9450531,234.6719017
352.7259216,177.5285621,191.8874426,181.0014861,323.5366516,241.7720795
346.6418762,175.7359741,186.7857075,181.0683544,321.8638153,248.6672745
339.7744598,175.9178162,182.1173682,181.64643,324.7570801,248.4114227
334.1418457,180.151962,162.4109459,181.8594723,322.6622314,241.1442604
334.8540344,180.2643421,161.414856,182.0001729,321.8048401,240.8657951
339.852951,181.028235,163.2831593,181.7667453,321.7439117,241.5575027
345.94841,181.2992699,166.3125391,180.9857743,322.6916656,243.2511673
346.6553345,181.3191562,166.7869864,180.9640496,322.1050568,243.5775833
347.0280609,181.3509719,167.5915203,180.9824975,321.4512634,243.9005508
346.9942474,181.5768821,169.3951778,181.0620413,322.0873108,244.8395233
354.0370789,181.9880123,173.4611149,181.3870451,325.2625732,245.5946732
0.046295166,181.5707245,179.8497039,181.3070104,328.2374878,243.0039215
0.602386475,181.2103038,180.8644693,181.1776094,327.5735168,243.5964661
0.435333252,180.792804,181.3790686,181.2441204,326.4738617,245.0290375
-0.2318573,180.5062919,181.4360552,181.3846004,326.386322,246.5406723
346.0469666,178.9090448,187.0733442,182.6199546,323.5059509,252.3159409
338.9739838,178.5047747,192.5596914,182.7222795,322.2602386,247.329834
337.3342285,178.8649918,204.8576641,180.5032613,315.2350006,243.767128
338.5892487,179.5061374,205.6418076,180.6060643,312.3514862,241.4369545
343.6953125,179.7771038,196.2650394,180.9404409,300.5362854,237.9731407
347.8905182,180.8126903,191.5243473,180.3444965,304.2032852,238.2872963
348.6136017,181.0352852,183.5370221,180.0692472,317.2402191,242.2363129
350.0318756,181.0729902,183.0070901,180.2116832,319.5944824,242.7589798
353.3541718,180.5463011,174.6903474,178.3248205,324.7144623,249.7593918
355.6682739,180.1249954,169.38873,177.9484209,323.9308472,250.1452408
352.4450226,179.7378886,167.4099255,179.0085523,323.7863464,246.423233
344.2019806,177.1856873,176.8100533,179.6437361,314.3005219,238.8488045
343.0755157,179.2007838,180.9329803,180.8876438,313.4101715,238.4668198
342.3957977,179.4879025,182.8921528,181.7825081,316.5007324,236.4428711
343.1392975,179.4028193,184.3141336,182.0806775,319.0831451,235.067646
347.9678955,180.5452337,189.6593056,182.0132203,313.9118958,225.5225143
1.838180542,180.6157262,194.4839706,180.7059901,315.3781738,230.7923203
2.430343628,180.6016512,194.284523,180.504236,317.7295227,231.7267342
1.991226196,180.5101609,190.9416819,180.1330485,317.0570526,234.4221077
1.853973389,180.4959562,190.3568249,180.0490588,316.5489502,233.2395744
1.216491699,180.4767156,189.9809942,179.8092623,315.9878998,228.7617531
0.814849854,180.4857783,189.9450827,179.6618618,316.0362549,226.7505112
0.211105347,180.5474999,189.1755171,179.3526693,315.8544006,226.1734657
-0.244537354,180.6327784,187.4315796,179.0030173,315.8668671,226.6169624
357.1318817,180.9038317,185.1957183,178.4420069,317.3846588,225.4385834
356.1916504,180.8384657,185.3177094,178.322486,318.0661163,225.7061005
355.2702179,180.8479793,184.545269,178.1360683,318.4078674,226.2540398
354.6050873,180.8434968,183.6126599,178.0880218,318.555954,226.1980591
352.3890228,180.5841706,181.8276162,178.2047472,319.1007538,225.9559174
350.1164703,180.2775948,180.6619518,178.4738285,319.9018097,226.2452316
347.1957703,180.8487923,165.6452084,178.8593707,315.783844,227.2954865
348.8703918,180.3170376,166.3851385,179.8314664,313.6413116,232.3715973
349.004364,180.7667189,168.7245951,180.2982905,320.5598297,241.2561531
356.0770569,182.6952176,176.0909276,179.9084553,324.5573273,240.6145668
356.7345123,182.7909641,177.9055529,180.0144429,324.6536865,233.6213303
356.1998901,182.8336201,179.7639962,180.0263679,324.9496765,226.6651917
343.9862061,180.6384931,198.037859,179.1310838,318.4799652,226.1141586
342.3661346,179.0470135,206.1211357,178.881367,318.4174347,233.6076775
347.3183289,178.3575171,202.4174919,179.2317724,320.4458008,238.5548401
346.728363,178.7771825,201.6206455,179.3304585,323.227066,242.0770798
350.1783142,179.9725145,196.1240158,179.5073038,326.5666046,238.1778488
6.700134277,180.3383815,170.2996006,179.1661292,333.4866791,221.1813126
7.074874878,180.4824946,167.1393747,179.4454882,332.0670013,221.5194702
7.260650635,180.5920298,165.4798174,179.4714211,332.0841217,221.6975708
11.2648468,181.1239219,160.2018204,180.3749542,332.6539154,223.3493614
1.535903931,180.2087688,170.1968594,180.3815553,328.1478729,227.7660522
353.3954926,179.8085103,174.6232202,180.4207041,322.9116669,228.682476
349.5552979,178.9030263,177.4190772,180.1077249,319.8130493,231.6566544
352.1384583,178.864413,191.9004431,178.732607,323.1543884,229.2764969
356.4463501,179.3089248,194.8483295,178.7084439,325.1733246,228.2402191
349.6146545,179.2738,197.9063873,179.1091957,327.6510925,227.7781487
-1.39491272,179.2981711,201.163641,179.3501769,327.9154358,226.5717506
-1.051528931,179.6406394,200.84342,179.133115,328.6928558,226.3841972
357.2405243,180.7503877,197.2141132,178.3281432,328.0234833,225.900383
351.4481049,181.1180155,191.8680964,178.1749263,327.6035156,225.1205559
350.6003418,181.1515656,190.4012556,178.2444009,327.2120514,226.0501938
352.4251862,181.0678055,185.5608778,178.450165,325.2139282,228.1998634
344.0965271,180.4011993,174.8368011,179.9488263,326.0820465,232.3160248
338.9588318,179.8701838,167.3959227,179.832653,329.2776642,229.9027405
337.993515,179.4010296,163.1478624,179.4738618,331.5110168,230.2259674
339.9945679,179.0613424,159.5750542,179.3690106,332.7626038,223.1092148
343.4064026,177.4661075,162.6474981,178.6161024,325.8117218,218.9748535
353.6964111,178.4244618,172.2699609,179.386134,324.4481201,225.6751671
353.8971558,178.2971082,172.886826,179.4026891,324.4188538,226.257164
353.5858154,178.2327346,174.1467056,179.6070273,324.27388,227.4246597
355.1663971,178.8430279,178.1446981,181.4048727,323.498291,229.3258362
355.6025238,179.2413189,180.5608554,182.4842882,324.9898834,230.0887146
351.7532196,179.4554347,188.9420042,184.1844068,327.8629456,240.3019638
341.6809235,179.1411531,188.2202139,185.6985259,324.8024292,245.8255692
342.5750732,178.0834169,182.5936618,184.3910618,320.3793182,240.5174217
